Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
"2.31""L x 1.5""W",B0002YX2AY,"September 14, 2004",No,China,"#69,147 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #275 in Sliding Door Hardware",Black,C 1001,13 ounces,$18.89,$28.44,$24.22,13
"9""L x 1.81""W",B000KL07BQ,"January 16, 2007",No,China,"#11,568 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #248 in Sliding Door Hardware",Black,C 1131,15.8 ounces,$21.51,$29.39,$25.89,13
5 x 4 x 6 inches,B00OPBGALS,None,No,China,"#37,580 in Office Products (See Top 100 in Office Products)  #350 in Door Stops",None,72155,2 pounds,$14.97,$33.69,$0.00,13
"20""L x 20""W",B00DS5H0W0,"November 23, 2006",No,China,"#58,783 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #219 in Sliding Door Hardware",White,C 1225,1.56 pounds,$46.93,$31.33,$38.74,13
2.13 x 0.57 x 1.97 inches,B074LC41Q2,"August 5, 2017",Design House,China,"#14,498 in Office Products (See Top 100 in Office Products)  #145 in Door Stops",Satin Nickel,181784,8.8 ounces,$10.46,$27.26,$0.00,13
5 x 0.81 x 1.12 inches,B000I19BP6,"August 1, 2007",Prime-Line Products,Taiwan,"#82,525 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #341 in Sliding Door Hardware",Metallic,N 6661,3.52 ounces,$4.55,$26.24,$0.00,13
"3""L x 2""W",B002KFZV7U,"August 26, 2009",No,China,"#77,151 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #237 in Door Hinges",Black,N115-451,9.2 ounces,$3.85,$27.26,$0.00,13
2.1 x 2 x 9.1 inches,B00SGVXYOE,"January 8, 2015",Hampton Products,Taiwan,"#65,617 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #255 in Sliding Door Hardware",Black,V1207BL,14.9 ounces,$13.50,$28.70,$21.79,13
1 x 8 x 9 inches,B00012FQCY,"August 17, 2005",No,USA,"#60,870 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #234 in Weather Stripping",White,V27WA,0.48 ounces,$9.13,$26.63,$0.00,13
0.75 x 3.75 x 5.63 inches,B000UGF3OC,"September 19, 2006",No,China,"#88,335 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #284 in Door Hinges",Black,K 5039,0.01 ounces,$3.83,$26.59,$0.00,13
36 x 2 x 0.25 inches,B004Q00FO6,"February 28, 2011",Frost King,USA,"#73,885 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #77 in Thresholds",White,A79WHA,8 ounces,$19.74,$26.99,$29.86,13
1.3 x 5 x 6.8 inches,B012E4L88M,"July 23, 2015",M-D Building Products,USA,"#78,235 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #284 in Weather Stripping",None,52000,9.6 ounces,$19.74,$27.62,$14.02,13
1.63 x 3.81 x 9.44 inches,B00FLO864M,"September 13, 2008",No,China,"#32,854 in Office Products (See Top 100 in Office Products)  #318 in Door Stops",Bronze,J 4538,8 ounces,$10.79,$27.70,$0.00,13
1.87 x 37 x 0.56 inches,B001M58YUU,"November 25, 2008",No,China,"#65,579 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #66 in Thresholds",Mill,68726,0.01 ounces,$20.77,$29.08,$31.70,13
37.25 x 9.68 x 3.03 inches,B001M5E9ZY,"October 2, 2010",M-D Building Products,China,"#69,886 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #72 in Thresholds",Mill,69848,3.36 ounces,$15.18,$34.21,$19.46,13
1.5 x 4.5 x 7.5 inches,B004RL1IMC,None,No,None,"#14,913 in Baby (See Top 100 in Baby)  #109 in Kids' Bathroom Safety Products  #471 in Door Stops",None,DG01-W,5.3 ounces,$24.95,$26.31,$26.04,13
2 x 7 x 6 inches,B001RUEWUQ,"February 6, 2009",No,China,"#22,289 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #1 in Commercial Door Guards",Satin Nickel,N335-984,7.2 ounces,$8.84,$26.79,$0.00,13
0.88 x 4 x 0.88 inches,B01M7S88LI,"January 6, 2017",Prime-Line Products,Taiwan,"#40,721 in Office Products (See Top 100 in Office Products)  #374 in Door Stops",Satin Nickel,MP10127,1.17 ounces,$7.99,$26.23,$0.00,13
