Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
