Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
8.46 x 8.35 x 6.85 inches,B08676WQ95,"May 18, 2021",Sungold Abrasives,USA,"#492,422 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #612 in Sander Belts  #7,790 in Abrasive & Finishing Products",None,35188,1.48 pounds,$21.14,$38.88,$15.20,13
"1""L x 1""W",B000KL5WY8,"January 16, 2007",No,China,"#202,750 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #57 in Abrasive Grinding Mounted Points",Silver and Grey,60036,1.6 ounces,$6.53,$25.39,$0.00,13
5.8 x 4.7 x 1.5 inches,B003NE5B6S,"June 4, 2010",Big Horn,USA,"#464,606 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #126 in Power Sanding Sleeves",None,19533,0.8 ounces,$13.23,$26.16,$10.45,13
6.57 x 5.67 x 1.06 inches,B07TP34LJN,"June 28, 2019",uxcell,China,"#183,088 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #372 in Buffing Wheels",None,a19021300ux0484,6.7 ounces,$13.98,$26.67,$18.86,13
2.76 x 0.98 x 0.98 inches,B005IW2N8M,"July 22, 2011",DEWALT,China,"#212,759 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #303 in Abrasive Wheel Brushes",None,DW49004,2.12 ounces,$9.59,$25.85,$0.00,13
1 x 10.5 x 6 inches,B000022376,"November 8, 1999",Delta,Taiwan,"#472,831 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #128 in Power Sanding Sleeves",None,31-796,3.52 ounces,$22.99,$26.82,$12.86,13
"6""L x 6""W",B003X5OQAY,"July 24, 2010",No,China,"#163,571 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #63 in Bench & Pedestal Grinding Wheels",No Color,72402,1 pounds,$15.79,$31.57,$21.68,13
"7""L x 0.31""W",B01FJVEY0Q,"May 12, 2016",Sungold Abrasives,USA,"#365,969 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #762 in Sander Sheets  #5,703 in Abrasive & Finishing Products","Black,Gold",87406,1.78 pounds,$33.31,$32.13,$16.46,13
1.5 x 5.3 x 7.3 inches,B005YUJYF8,"November 7, 2011",Sungold Abrasives,China,"#185,921 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #618 in Power Sander Hook & Loop Discs",Gold,24219,3.98 ounces,$11.75,$26.31,$0.00,13
1.38 x 2.75 x 7.25 inches,B000BPEZQE,"August 17, 2005",No,China,"#411,302 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #416 in Sanding Blocks",None,45395,3.2 ounces,$10.34,$27.70,$0.00,13
0.94 x 5 x 5 inches,B09BF41FHV,"July 29, 2021","Ali Industries, LLC, Rust-Oleum",Poland,"#400,805 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #841 in Sander Sheets  #6,252 in Abrasive & Finishing Products",Black,975010,11.6 ounces,$28.82,$27.90,$25.60,13
3.46 x 3.46 x 2.6 inches,B072MHBZPF,"June 6, 2017",54218,"Korea, Republic of","#467,486 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1,354 in Power Sander Hook & Loop Discs",None,54218,3.2 ounces,$19.32,$25.88,$11.79,13
"123""L x 3""W",B07JLWKHPS,"November 1, 2018",JET,USA,"#458,090 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #956 in Sander Sheets  #7,185 in Abrasive & Finishing Products",Red,60-25036,1 pounds,$34.99,$31.33,$16.67,13
"9""L x 9""W",B07FCQ33FL,"July 9, 2018",WEN,China,"#481,883 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1,387 in Power Sander Hook & Loop Discs",None,9SD40,1.6 ounces,$13.33,$28.70,$11.05,13
"6""L x 6""W",B003X485PM,None,No,Canada,"#440,715 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #170 in Power Sander PSA Discs",None,1201,10 ounces,$42.51,$29.47,$17.99,13
"10.25""L x 3.25""W",B07DB1ZWFN,"May 25, 2018",WEN,China,"#508,018 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #140 in Power Sanding Sleeves",None,65910SP80,4.8 ounces,$13.33,$29.70,$11.28,13
18 x 0.5 x 0.04 inches,B01JBNRT5K,"September 19, 2019",No,China,"#494,121 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #615 in Sander Belts  #7,822 in Abrasive & Finishing Products",None,303760Z,2.4 ounces,$10.19,$25.70,$0.00,13
5.6 x 5.2 x 1.9 inches,B003NE5B7C,"June 4, 2010",No,USA,"#473,370 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #129 in Power Sanding Sleeves",None,19534,0.8 ounces,$16.39,$30.11,$12.10,13
6 x 1 x 1 inches,B00209NCNQ,"August 1, 2009",SAIT,USA,"#182,853 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #239 in Flap Discs",None,78009,0.16 ounces,$65.66,$35.36,$24.69,13
